location,date,new_cases,new_deaths
Australia,2019-12-31,0,0
Australia,2020-01-01,0,0
Australia,2020-01-02,0,0
Australia,2020-01-03,0,0
Australia,2020-01-04,0,0
Australia,2020-01-05,0,0
Australia,2020-01-06,0,0
Australia,2020-01-07,0,0
Australia,2020-01-08,0,0
Australia,2020-01-09,0,0
Australia,2020-01-10,0,0
Australia,2020-01-11,0,0
Australia,2020-01-12,0,0
Australia,2020-01-13,0,0
Australia,2020-01-14,0,0
Australia,2020-01-15,0,0
Australia,2020-01-16,0,0
Australia,2020-01-17,0,0
Australia,2020-01-18,0,0
Australia,2020-01-19,0,0
Australia,2020-01-20,0,0
Australia,2020-01-21,0,0
Australia,2020-01-22,0,0
Australia,2020-01-23,0,0
Australia,2020-01-24,0,0
Australia,2020-01-25,1,0
Australia,2020-01-26,3,0
Australia,2020-01-27,0,0
Australia,2020-01-28,0,0
Australia,2020-01-29,0,0
Australia,2020-01-30,2,0
Australia,2020-01-31,1,0
Australia,2020-02-01,2,0
Australia,2020-02-02,2,0
Australia,2020-02-03,0,0
Australia,2020-02-04,0,0
Australia,2020-02-05,1,0
Australia,2020-02-06,1,0
Australia,2020-02-07,1,0
Australia,2020-02-08,0,0
Australia,2020-02-09,0,0
Australia,2020-02-10,0,0
Australia,2020-02-11,0,0
Australia,2020-02-12,0,0
Australia,2020-02-13,0,0
Australia,2020-02-14,1,0
Australia,2020-02-15,0,0
Australia,2020-02-16,0,0
Australia,2020-02-17,0,0
Australia,2020-02-18,0,0
Australia,2020-02-19,0,0
Australia,2020-02-20,0,0
Australia,2020-02-21,2,0
Australia,2020-02-22,4,0
Australia,2020-02-23,1,0
Australia,2020-02-24,0,0
Australia,2020-02-25,0,0
Australia,2020-02-26,0,0
Australia,2020-02-27,1,0
Australia,2020-02-28,0,0
Australia,2020-02-29,2,0
Australia,2020-03-01,1,1
Australia,2020-03-02,3,0
Australia,2020-03-03,4,0
Australia,2020-03-04,8,0
Australia,2020-03-05,11,1
Australia,2020-03-06,7,0
Australia,2020-03-07,4,0
Australia,2020-03-08,11,1
Australia,2020-03-09,6,0
Australia,2020-03-10,20,0
Australia,2020-03-11,12,0
Australia,2020-03-12,14,0
Australia,2020-03-13,30,0
Australia,2020-03-14,41,0
Australia,2020-03-15,52,0
Australia,2020-03-16,49,2
Australia,2020-03-17,77,0
Australia,2020-03-18,79,0
Australia,2020-03-19,111,1
Australia,2020-03-20,144,0
Australia,2020-03-21,165,1
Australia,2020-03-22,224,0
Australia,2020-03-23,611,0
Australia,2020-03-24,114,0
Australia,2020-03-25,600,1
Australia,2020-03-26,376,3
Australia,2020-03-27,367,2
Australia,2020-03-28,212,0
Australia,2020-03-29,431,1
Australia,2020-03-30,284,2
Australia,2020-03-31,464,3
Australia,2020-04-01,150,1
Australia,2020-04-02,269,1
Australia,2020-04-03,248,2
Australia,2020-04-04,324,7
Australia,2020-04-05,139,4
Australia,2020-04-06,57,2
Australia,2020-04-07,100,6
Australia,2020-04-08,112,3
Australia,2020-04-09,96,5
Australia,2020-04-10,100,2
Australia,2020-04-11,86,2
Australia,2020-04-12,51,3
Australia,2020-04-13,33,4
Australia,2020-04-14,44,0
Australia,2020-04-15,50,0
Australia,2020-04-16,42,2
Australia,2020-04-17,39,0
Australia,2020-04-18,36,4
Australia,2020-04-19,53,2
Australia,2020-04-20,26,1
Australia,2020-04-21,13,1
Australia,2020-04-22,22,3
Australia,2020-04-23,7,0
Australia,2020-04-24,13,1
Australia,2020-04-25,20,4
Australia,2020-04-26,16,2
Australia,2020-04-27,10,2
Australia,2020-04-28,12,1
Australia,2020-04-29,13,4
Australia,2020-04-30,8,2
Australia,2020-05-01,16,2
Australia,2020-05-02,5,1
Australia,2020-05-03,16,0
Australia,2020-05-04,18,2
Australia,2020-05-05,24,0
Australia,2020-05-06,24,1
Australia,2020-05-07,26,1
Australia,2020-05-08,21,0
Australia,2020-05-09,18,0
Australia,2020-05-10,15,0
Australia,2020-05-11,12,0
Australia,2020-05-12,7,0
Australia,2020-05-13,16,0
Australia,2020-05-14,11,1
Australia,2020-05-15,14,0
Australia,2020-05-16,30,0
Australia,2020-05-17,17,0
Australia,2020-05-18,9,0
Australia,2020-05-19,15,1
Australia,2020-05-20,8,0
Australia,2020-05-21,11,1
Australia,2020-05-22,2,0
Australia,2020-05-23,14,1
Australia,2020-05-24,11,1
Australia,2020-05-25,3,0
Australia,2020-05-26,9,0
Australia,2020-05-27,15,0
Australia,2020-05-28,6,0
Australia,2020-05-29,11,0
Australia,2020-05-30,23,0
Australia,2020-05-31,12,0
Australia,2020-06-01,10,0
Australia,2020-06-02,9,0
Australia,2020-06-03,17,0
Australia,2020-06-04,8,0
Australia,2020-06-05,11,0
Australia,2020-06-06,11,0
Australia,2020-06-07,4,0
Australia,2020-06-08,5,0
Australia,2020-06-09,5,0
Australia,2020-06-10,2,0
Australia,2020-06-11,9,0
Australia,2020-06-12,9,0
Australia,2020-06-13,5,0
Australia,2020-06-14,12,0
Australia,2020-06-15,18,0
Australia,2020-06-16,15,0
Australia,2020-06-17,12,0
Australia,2020-06-18,23,0
Australia,2020-06-19,21,0
Australia,2020-06-20,18,0
Australia,2020-06-21,27,0
Australia,2020-06-22,25,0
Australia,2020-06-23,13,0
Australia,2020-06-24,18,0
Australia,2020-06-25,29,1
Australia,2020-06-26,37,1
Australia,2020-06-27,37,0
Australia,2020-06-28,46,0
Australia,2020-06-29,45,0
Australia,2020-06-30,81,0
Australia,2020-07-01,67,0
Australia,2020-07-02,86,0
Australia,2020-07-03,81,0
Australia,2020-07-04,254,0
Australia,2020-07-05,107,0
Australia,2020-07-06,87,0
Australia,2020-07-07,137,2
Australia,2020-07-08,169,0
Australia,2020-07-09,131,0
Australia,2020-07-10,173,0
Australia,2020-07-11,300,0
Australia,2020-07-12,194,1
Australia,2020-07-13,244,1
Australia,2020-07-14,183,0
Australia,2020-07-15,271,0
Australia,2020-07-16,244,3
Australia,2020-07-17,315,2
Australia,2020-07-18,425,3
Australia,2020-07-19,206,2
Australia,2020-07-20,361,4
Australia,2020-07-21,267,1
Australia,2020-07-22,359,3
Australia,2020-07-23,468,2
Australia,2020-07-24,410,5
Australia,2020-07-25,289,6
Australia,2020-07-26,355,6
Australia,2020-07-27,453,10
Australia,2020-07-28,532,6
Australia,2020-07-29,369,6
Australia,2020-07-30,278,9
Australia,2020-07-31,721,13
Australia,2020-08-01,602,7
Australia,2020-08-02,377,4
Australia,2020-08-03,641,8
Australia,2020-08-04,395,13
Australia,2020-08-05,411,11
Australia,2020-08-06,715,15
Australia,2020-08-07,418,8
Australia,2020-08-08,410,11
Australia,2020-08-09,426,12
Australia,2020-08-10,386,17
Australia,2020-08-11,313,18
Australia,2020-08-12,316,18
Australia,2020-08-13,414,21
Australia,2020-08-14,231,9
Australia,2020-08-15,385,14
Australia,2020-08-16,292,4
Australia,2020-08-17,253,17
Australia,2020-08-18,311,25
Australia,2020-08-19,174,17
Australia,2020-08-20,220,12
Australia,2020-08-21,243,13
Australia,2020-08-22,171,9
Australia,2020-08-23,195,13
Australia,2020-08-24,210,17
Australia,2020-08-25,104,15
Australia,2020-08-26,137,8
Australia,2020-08-27,152,24
Australia,2020-08-28,117,23
Australia,2020-08-29,126,11
Australia,2020-08-30,99,17
Australia,2020-08-31,123,11
Australia,2020-09-01,76,41
Australia,2020-09-02,73,5
Australia,2020-09-03,104,6
Australia,2020-09-04,126,15
Australia,2020-09-05,87,59
Australia,2020-09-06,71,11
Australia,2020-09-07,72,5
Australia,2020-09-08,43,9
Australia,2020-09-09,52,8
Australia,2020-09-10,91,11
Australia,2020-09-11,48,7
Australia,2020-09-12,52,9
Australia,2020-09-13,42,6
Australia,2020-09-14,44,7
Australia,2020-09-15,41,6
Australia,2020-09-16,46,0
Australia,2020-09-17,41,8
Australia,2020-09-18,34,8
Australia,2020-09-19,48,5
Australia,2020-09-20,24,7
Australia,2020-09-21,13,5
Australia,2020-09-22,14,2
Australia,2020-09-23,30,3
Australia,2020-09-24,31,5
Australia,2020-09-25,10,2
Australia,2020-09-26,17,8
Australia,2020-09-27,16,1
Australia,2020-09-28,24,2
Australia,2020-09-29,4,3
Australia,2020-09-30,19,7
Australia,2020-10-01,0,0
Australia,2020-10-02,33,6
Australia,2020-10-03,17,2
Australia,2020-10-04,8,3
Australia,2020-10-05,15,1
Australia,2020-10-06,13,0
Australia,2020-10-07,25,1
Australia,2020-10-08,8,2
Australia,2020-10-09,24,0
Australia,2020-10-10,23,0
Australia,2020-10-11,15,0
Australia,2020-10-12,20,1
Australia,2020-10-13,22,0
Australia,2020-10-14,31,1
Australia,2020-10-15,24,5
Australia,2020-10-16,21,0
Australia,2020-10-17,9,0
Australia,2020-10-18,12,0
Australia,2020-10-19,7,0
Australia,2020-10-20,9,1
Australia,2020-10-21,31,0
Australia,2020-10-22,14,0
Australia,2020-10-23,22,0
Australia,2020-10-24,18,0
World,2019-12-31,27,0
World,2020-01-01,0,0
World,2020-01-02,0,0
World,2020-01-03,17,0
World,2020-01-04,0,0
World,2020-01-05,15,0
World,2020-01-06,0,0
World,2020-01-07,0,0
World,2020-01-08,0,0
World,2020-01-09,0,0
World,2020-01-10,0,0
World,2020-01-11,0,1
World,2020-01-12,0,0
World,2020-01-13,1,0
World,2020-01-14,1,0
World,2020-01-15,1,1
World,2020-01-16,0,0
World,2020-01-17,5,0
World,2020-01-18,17,0
World,2020-01-19,136,1
World,2020-01-20,20,0
World,2020-01-21,153,3
World,2020-01-22,142,11
World,2020-01-23,97,0
World,2020-01-24,266,9
World,2020-01-25,453,15
World,2020-01-26,673,15
World,2020-01-27,797,25
World,2020-01-28,1767,25
World,2020-01-29,1480,26
World,2020-01-30,1757,38
World,2020-01-31,2001,43
World,2020-02-01,2122,46
World,2020-02-02,2608,46
World,2020-02-03,2818,57
World,2020-02-04,3243,65
World,2020-02-05,3908,66
World,2020-02-06,3751,72
World,2020-02-07,3218,73
World,2020-02-08,3442,86
World,2020-02-09,2618,89
World,2020-02-10,2992,97
World,2020-02-11,2563,108
World,2020-02-12,2072,97
World,2020-02-13,15151,255
World,2020-02-14,4215,13
World,2020-02-15,2560,144
World,2020-02-16,2162,142
World,2020-02-17,2067,106
World,2020-02-18,1995,98
World,2020-02-19,1864,139
World,2020-02-20,532,116
World,2020-02-21,996,119
World,2020-02-22,1085,112
World,2020-02-23,1010,104
World,2020-02-24,523,156
World,2020-02-25,795,79
World,2020-02-26,867,64
World,2020-02-27,1114,38
World,2020-02-28,1271,57
World,2020-02-29,1860,64
World,2020-03-01,1825,58
World,2020-03-02,2086,67
World,2020-03-03,1858,72
World,2020-03-04,2315,84
World,2020-03-05,2357,80
World,2020-03-06,3060,102
World,2020-03-07,4120,104
World,2020-03-08,3978,97
World,2020-03-09,4179,228
World,2020-03-10,4818,208
World,2020-03-11,5118,273
World,2020-03-12,7922,333
World,2020-03-13,9474,350
World,2020-03-14,10455,443
World,2020-03-15,12200,367
World,2020-03-16,12479,751
World,2020-03-17,14241,606
World,2020-03-18,17092,811
World,2020-03-19,20294,963
World,2020-03-20,31196,1075
World,2020-03-21,31988,1387
World,2020-03-22,34226,1716
World,2020-03-23,34270,1691
World,2020-03-24,44570,1854
World,2020-03-25,42536,2315
World,2020-03-26,53835,2645
World,2020-03-27,61109,2814
World,2020-03-28,65185,3492
World,2020-03-29,62854,3590
World,2020-03-30,57364,3231
World,2020-03-31,64713,3993
World,2020-04-01,74839,4677
World,2020-04-02,77647,5015
World,2020-04-03,77646,5026
World,2020-04-04,81999,6786
World,2020-04-05,85270,6298
World,2020-04-06,66260,4771
World,2020-04-07,73265,5345
World,2020-04-08,77394,7576
World,2020-04-09,85058,6570
World,2020-04-10,87433,7424
World,2020-04-11,89623,7016
World,2020-04-12,75365,6064
World,2020-04-13,68523,5335
World,2020-04-14,65255,5390
World,2020-04-15,76977,7619
World,2020-04-16,78812,10491
World,2020-04-17,84430,8527
World,2020-04-18,82277,8463
World,2020-04-19,79696,6373
World,2020-04-20,70503,4988
World,2020-04-21,74656,5450
World,2020-04-22,87321,7243
World,2020-04-23,66604,5935
World,2020-04-24,78787,7335
World,2020-04-25,73150,5359
World,2020-04-26,99847,6160
World,2020-04-27,81834,3913
World,2020-04-28,66773,4899
World,2020-04-29,72828,6566
World,2020-04-30,79510,6562
World,2020-05-01,85673,5650
World,2020-05-02,88531,5577
World,2020-05-03,80631,4808
World,2020-05-04,77023,3706
World,2020-05-05,77609,3986
World,2020-05-06,79645,5957
World,2020-05-07,88213,6124
World,2020-05-08,92816,5642
World,2020-05-09,89698,5112
World,2020-05-10,88418,4407
World,2020-05-11,74534,3426
World,2020-05-12,71371,3590
World,2020-05-13,87119,5757
World,2020-05-14,87490,5018
World,2020-05-15,97184,5256
World,2020-05-16,98231,5060
World,2020-05-17,92974,4225
World,2020-05-18,79051,2898
World,2020-05-19,87951,3298
World,2020-05-20,96378,5185
World,2020-05-21,104973,4718
World,2020-05-22,108785,5391
World,2020-05-23,106803,4646
World,2020-05-24,98954,3916
World,2020-05-25,92252,1107
World,2020-05-26,90951,3368
World,2020-05-27,94640,3871
World,2020-05-28,103813,5142
World,2020-05-29,119332,4642
World,2020-05-30,123186,4654
World,2020-05-31,127766,4012
World,2020-06-01,105625,2914
World,2020-06-02,102772,3145
World,2020-06-03,113212,4545
World,2020-06-04,126516,5516
World,2020-06-05,127352,5130
World,2020-06-06,133857,4639
World,2020-06-07,125387,3788
World,2020-06-08,113668,3511
World,2020-06-09,108750,3214
World,2020-06-10,126771,4853
World,2020-06-11,135661,5131
World,2020-06-12,136728,4696
World,2020-06-13,144990,4648
World,2020-06-14,132969,4139
World,2020-06-15,119616,3157
World,2020-06-16,121592,3378
World,2020-06-17,143251,6719
World,2020-06-18,178028,5100
World,2020-06-19,138810,6275
World,2020-06-20,181354,5032
World,2020-06-21,159136,4116
World,2020-06-22,126286,3967
World,2020-06-23,136494,3395
World,2020-06-24,164177,5350
World,2020-06-25,175821,5215
World,2020-06-26,178868,6578
World,2020-06-27,189700,4560
World,2020-06-28,181247,4591
World,2020-06-29,159070,3070
World,2020-06-30,161815,3704
World,2020-07-01,193796,5624
World,2020-07-02,202238,4840
World,2020-07-03,208884,5077
World,2020-07-04,205800,5012
World,2020-07-05,187773,4339
World,2020-07-06,176549,3378
World,2020-07-07,177162,3841
World,2020-07-08,208511,5996
World,2020-07-09,215912,5277
World,2020-07-10,224961,5383
World,2020-07-11,231720,5277
World,2020-07-12,215719,4793
World,2020-07-13,194193,3890
World,2020-07-14,192553,3841
World,2020-07-15,225054,5578
World,2020-07-16,234288,5501
World,2020-07-17,256151,5744
World,2020-07-18,248827,7233
World,2020-07-19,227020,4978
World,2020-07-20,213628,3936
World,2020-07-21,204636,4093
World,2020-07-22,241536,6123
World,2020-07-23,283890,6877
World,2020-07-24,275841,9779
World,2020-07-25,284287,6256
World,2020-07-26,256990,5733
World,2020-07-27,229343,3963
World,2020-07-28,215347,4656
World,2020-07-29,244704,6162
World,2020-07-30,299976,6642
World,2020-07-31,290225,6383
World,2020-08-01,277264,6123
World,2020-08-02,262022,5759
World,2020-08-03,220913,4233
World,2020-08-04,207320,4226
World,2020-08-05,256810,6730
World,2020-08-06,278536,7100
World,2020-08-07,285952,6895
World,2020-08-08,275725,6468
World,2020-08-09,265839,5634
World,2020-08-10,227415,4824
World,2020-08-11,221294,4817
World,2020-08-12,261564,6137
World,2020-08-13,289795,6900
World,2020-08-14,285548,9910
World,2020-08-15,289349,6241
World,2020-08-16,256432,5657
World,2020-08-17,230176,4233
World,2020-08-18,199684,4270
World,2020-08-19,256079,6691
World,2020-08-20,281874,6545
World,2020-08-21,275382,6353
World,2020-08-22,253421,5869
World,2020-08-23,263276,5643
World,2020-08-24,222670,3310
World,2020-08-25,214767,4277
World,2020-08-26,256559,6477
World,2020-08-27,278262,6294
World,2020-08-28,283632,6082
World,2020-08-29,276981,5457
World,2020-08-30,266054,5697
World,2020-08-31,243219,3773
World,2020-09-01,245516,4053
World,2020-09-02,269005,6512
World,2020-09-03,284976,6078
World,2020-09-04,279065,5792
World,2020-09-05,293157,5585
World,2020-09-06,276155,5363
World,2020-09-07,245999,9033
World,2020-09-08,209083,3821
World,2020-09-09,245696,4964
World,2020-09-10,289184,6093
World,2020-09-11,305692,5892
World,2020-09-12,304696,5885
World,2020-09-13,284091,4927
World,2020-09-14,269988,3880
World,2020-09-15,245520,4236
World,2020-09-16,303523,6956
World,2020-09-17,289716,5437
World,2020-09-18,318186,5319
World,2020-09-19,311968,5953
World,2020-09-20,293505,5073
World,2020-09-21,284329,3745
World,2020-09-22,268939,4395
World,2020-09-23,282710,6065
World,2020-09-24,311481,6365
World,2020-09-25,320888,5783
World,2020-09-26,311602,5577
World,2020-09-27,299267,5421
World,2020-09-28,279856,3823
World,2020-09-29,238511,3924
World,2020-09-30,293940,6219
World,2020-10-01,316009,6108
World,2020-10-02,323170,8772
World,2020-10-03,318791,5535
World,2020-10-04,301912,4723
World,2020-10-05,281018,3966
World,2020-10-06,270420,4453
World,2020-10-07,326756,5618
World,2020-10-08,353624,5852
World,2020-10-09,363043,9119
World,2020-10-10,349229,5749
World,2020-10-11,345287,4823
World,2020-10-12,304518,3978
World,2020-10-13,288737,3973
World,2020-10-14,330679,5530
World,2020-10-15,388336,6037
World,2020-10-16,402364,6111
World,2020-10-17,396856,5945
World,2020-10-18,369119,5538
World,2020-10-19,362204,3949
World,2020-10-20,348284,4670
World,2020-10-21,391139,6405
World,2020-10-22,444483,6740
World,2020-10-23,457344,6349
World,2020-10-24,468117,6250
